test,N,run,vary,ttl,fanout,policy,pull_interval_ms,convergence_ms,overhead
n_seed,10,0,N=10_seed=0,10,3,first,0,2.0,58
n_seed,10,0,N=10_seed=0,10,3,first,1000,5.0,95
n_seed,10,1,N=10_seed=1,10,3,first,0,3.0,70
n_seed,10,1,N=10_seed=1,10,3,first,1000,2.0,56
n_seed,10,2,N=10_seed=2,10,3,first,0,2.0,39
n_seed,10,2,N=10_seed=2,10,3,first,1000,2.0,45
n_seed,10,3,N=10_seed=3,10,3,first,0,3.0,78
n_seed,10,3,N=10_seed=3,10,3,first,1000,2.0,63
n_seed,10,4,N=10_seed=4,10,3,first,0,2.0,57
n_seed,10,4,N=10_seed=4,10,3,first,1000,1003.0,283
n_seed,20,0,N=20_seed=0,10,3,first,0,6.0,210
n_seed,20,0,N=20_seed=0,10,3,first,1000,983.0,382
n_seed,20,1,N=20_seed=1,10,3,first,0,5.0,155
n_seed,20,1,N=20_seed=1,10,3,first,1000,996.0,758
n_seed,20,2,N=20_seed=2,10,3,first,0,6.0,229
n_seed,20,2,N=20_seed=2,10,3,first,1000,984.0,436
n_seed,20,3,N=20_seed=3,10,3,first,0,6.0,219
n_seed,20,3,N=20_seed=3,10,3,first,1000,6.0,224
n_seed,20,4,N=20_seed=4,10,3,first,0,7.0,245
n_seed,20,4,N=20_seed=4,10,3,first,1000,1006.0,1082
n_seed,50,0,N=50_seed=0,10,3,first,0,34.0,1479
n_seed,50,0,N=50_seed=0,10,3,first,1000,69.0,2423
n_seed,50,1,N=50_seed=1,10,3,first,0,52.0,2033
n_seed,50,1,N=50_seed=1,10,3,first,1000,1049.0,6625
n_seed,50,2,N=50_seed=2,10,3,first,0,52.0,2044
n_seed,50,2,N=50_seed=2,10,3,first,1000,1027.0,5590
n_seed,50,3,N=50_seed=3,10,3,first,0,55.0,2221
n_seed,50,3,N=50_seed=3,10,3,first,1000,1033.0,5649
n_seed,50,4,N=50_seed=4,10,3,first,0,53.0,1946
n_seed,50,4,N=50_seed=4,10,3,first,1000,982.0,3766
