test,N,run,vary,ttl,fanout,policy,pull_interval_ms,convergence_ms,overhead
policy,10,0,policy=first,10,3,first,0,3.0,78
policy,10,0,policy=random,10,3,random,0,2.0,62
policy,10,1,policy=first,10,3,first,0,3.0,97
policy,10,1,policy=random,10,3,random,0,2.0,52
policy,10,2,policy=first,10,3,first,0,2.0,57
policy,10,2,policy=random,10,3,random,0,2.0,62
policy,10,3,policy=first,10,3,first,0,3.0,79
policy,10,3,policy=random,10,3,random,0,3.0,86
policy,10,4,policy=first,10,3,first,0,3.0,93
policy,10,4,policy=random,10,3,random,0,2.0,56
policy,20,0,policy=first,10,3,first,0,7.0,244
policy,20,0,policy=random,10,3,random,0,7.0,263
policy,20,1,policy=first,10,3,first,0,6.0,203
policy,20,1,policy=random,10,3,random,0,5.0,199
policy,20,2,policy=first,10,3,first,0,4.0,145
policy,20,2,policy=random,10,3,random,0,12.0,303
policy,20,3,policy=first,10,3,first,0,8.0,298
policy,20,3,policy=random,10,3,random,0,6.0,224
policy,20,4,policy=first,10,3,first,0,5.0,176
policy,20,4,policy=random,10,3,random,0,5.0,200
policy,50,0,policy=first,10,3,first,0,38.0,1407
policy,50,0,policy=random,10,3,random,0,47.0,2037
policy,50,1,policy=first,10,3,first,0,51.0,2201
policy,50,1,policy=random,10,3,random,0,53.0,2264
policy,50,2,policy=first,10,3,first,0,52.0,2002
policy,50,2,policy=random,10,3,random,0,67.0,2637
policy,50,3,policy=first,10,3,first,0,40.0,1393
policy,50,3,policy=random,10,3,random,0,55.0,2188
policy,50,4,policy=first,10,3,first,0,57.0,2326
policy,50,4,policy=random,10,3,random,0,58.0,2038
